ORD ATL 20
ATL ORD 19
ORD MSY 13
HKT BKK 13
DOH BAH 12
LHR JFK 12
AUH MCT 12
MIA ATL 12
ATL MIA 12
BKK HKG 12
JFK LHR 12
CAN HGH 12
HKG BKK 12
ATL DEN 11
MCT AUH 11
CNX BKK 11
JFK MSY 11
KGL EBB 11
LHR LAX 11
DEN ATL 11
SFO ATL 11
SYD AKL 11
MSY JFK 11
HRE LUN 11
CDG JFK 11
LAX LHR 11
JFK CDG 11
ATL DFW 11
CGO HGH 10
CGK SIN 10
CKG XIY 10
CDG ORD 10
ATL JFK 10
SIN CGK 10
KUL CGK 10
HGH CGO 10
MXP JFK 10
JHG KMG 10
DFW ATL 10
NRT TPE 10
BKK SIN 10
NRT ICN 10
JFK MXP 10
CGK KUL 10
KMG JHG 10
MLE CMB 10
DLC HGH 10
ICN NRT 10
BKK CNX 10
ICN HKG 10
TPE NRT 10
AKL SYD 10
HGH DLC 10
HKG ICN 10
CMB MLE 10
ICN BKK 10
KUL SIN 10
ORD CDG 10
LHR SFO 10
BKK HKT 10
BKK ICN 10
ATL LAX 10
BAH DOH 10
XIY CKG 10
HGH CAN 10
DPS SIN 10
SFO LHR 10
SIN DPS 10
SIN KUL 10
TAO HGH 9
DFW FRA 9
LHW URC 9
ACE LGW 9
MSY LAX 9
ATL JAX 9
ORD LHR 9
PHX ATL 9
CTU KMG 9
ATL RDU 9
SIN BNE 9
KMG CTU 9
URC CGO 9
LHR BOS 9
DUB JFK 9
ATL SFO 9
URC KHG 9
ATL CUN 9
ATL MSY 9
JFK DUB 9
JNB CPT 9
LAX MSY 9
CKG KMG 9
IAD ATL 9
BOS LHR 9
CNS BNE 9
MSY ATL 9
BNE SIN 9
CTU HGH 9
SIN BKK 9
SIN PER 9
TAO SHE 9
SJC LAX 9
SHE TAO 9
LGW ACE 9
LAX ATL 9
JFK MAD 9
IAH ATL 9
XIY XNN 9
URC XIY 9
IND ATL 9
LHR ORD 9
CPT JNB 9
KUL BKK 9
LAX NRT 9
ATL IND 9
XNN XIY 9
BKK KUL 9
PER SIN 9
LAX LAS 9
HGH TAO 9
BCN JFK 9
LAS LAX 9
ATL IAD 9
PHL ATL 9
HGH CTU 9
ATL IAH 9
JFK BCN 9
XMN NKG 9
KMG CKG 9
SIN SYD 9
ATL PHX 9
JAX ATL 9
HNL LAX 9
RDU ATL 9
MAD JFK 9
ATL PHL 9
KHG URC 9
CGO URC 9
CDG MIA 9
